"","org_name","funding_type","transaction_amount_usd","funding_date","diversity","transaction_name","org_industry","org_location","org_revenue_range","total_raised_usd","lead_investors","num_investors","cb_rank","women_founded_led","black_founded_led","hispanic_latinx_founded_led","s_asian_founded_led","se_asian_founded_led","e_asian_founded_led","m_eastern_n_african_founded_led","indigenous_founded_led","region","vertical_finance","vertical_health","vertical_transport","vertical_tech","vertical_software","vertical_ecommerce"
"192","LOOKCAST","Seed",903450,"2015",NA,"Seed Round - LOOKCAST","Fashion, Jewelry, Software","Illinois","Less than $1M",1403450,NA,1,336411,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"193","venVelo","Seed",1300000,"2015",NA,"Seed Round - venVelo","Finance, Financial Services, Venture Capital","Florida",NA,1300000,NA,NA,336594,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"194","Rollinglobe","Seed",40000,"2015",NA,"Seed Round - Rollinglobe","E-Commerce, Leisure, Tourism, Travel","New York","$1M to $10M",40000,NA,1,336735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"195","Scanalytics","Seed",25000,"2015",NA,"Seed Round - Scanalytics","Analytics, Enterprise Software, Internet of Things","Wisconsin","$1M to $10M",4334957,NA,NA,336958,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"196","IamOn","Seed",3e+05,"2015","Women Founded","Seed Round - IamOn","Bitcoin, Data Mining, Database, Service Industry","California","$1M to $10M",3e+05,NA,NA,337221,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"197","Reemo Health","Seed",3e+05,"2015",NA,"Seed Round - Reemo Health","Assisted Living, Elder Care, Health Care, Home Health Care, Internet of Things, Wearables, Wellness","Minnesota","Less than $1M",850000,NA,3,337222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"198","Smartcar","Seed",2e+06,"2015",NA,"Seed Round - Smartcar","Automotive, Developer APIs, Software","California","Less than $1M",1.2e+07,"Andreessen Horowitz",1,264962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"199","connectRN","Seed",1e+05,"2015",NA,"Seed Round - connectRN","Health Care, Hospital, Marketplace, Medical, Mobile Apps, Nursing and Residential Care","Massachusetts","$1M to $10M",13578240,NA,1,265191,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"200","AiMarket","Seed",2e+05,"2015","Women Founded","Seed Round - AiMarket","E-Commerce, Internet, Mobile","California",NA,425000,NA,NA,337891,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"201","Workify","Seed",5e+05,"2015",NA,"Seed Round - Workify","Apps, Human Resources","Texas","Less than $1M",1750000,NA,NA,338568,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"202","BriteHub","Seed",390000,"2015","Women Founded","Seed Round - BriteHub","B2B, Industrial Automation, SaaS, Software","California","$1M to $10M",2591957,NA,NA,339187,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"203","Deep Water Software","Seed",250000,"2015","Women Founded","Seed Round - Deep Water Software","Computer, Retail Technology, Software","Missouri","$1M to $10M",250000,NA,NA,339212,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Midwest",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"204","Spreedly","Seed",899653,"2015",NA,"Seed Round - Spreedly","E-Commerce, FinTech, Mobile Payments, Payments, SaaS","North Carolina","$10M to $50M",81070370,NA,NA,341361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"205","Vicomi","Seed",2300000,"2015",NA,"Seed Round - Vicomi","Big Data, Data Integration, Publishing","California","$1M to $10M",2300000,NA,4,163746,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"206","DoWhistle","Seed",4e+05,"2015","Women Founded","Seed Round - DoWhistle","Business Development, Consumer, GPS, Local, Social Entrepreneurship, Software","California","Less than $1M",4e+05,NA,3,163866,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"207","Tiger Eye Sensor, Inc.","Seed",59909,"2015","Women Founded","Seed Round - Tiger Eye Sensor, Inc.","Consumer Electronics, Electronics, Wearables","North Carolina","$1M to $10M",84909,NA,NA,164171,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"208","Dash","Seed",3e+05,"2015",NA,"Seed Round - Dash","Big Data, Finance, Hardware, Internet of Things, Mobile, Software","New York","Less than $1M",2897294,NA,1,155653,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"209","Covercy","Seed",250000,"2015","Middle Eastern / North African Founded, Middle Eastern / North African Led","Seed Round - Covercy","Commercial Real Estate, FinTech, Payments, Real Estate Investment","New York","$1M to $10M",4250000,NA,NA,280736,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Northeast",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"210","Seamless Planet","Seed",7e+05,"2015","Women Founded","Seed Round - Seamless Planet","Artificial Intelligence, Impact Investing, Tourism, Travel","California","Less than $1M",744090,NA,NA,281360,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"211","Mad Street Den","Seed",1500000,"2015","Women Founded, Women Led","Seed Round - Mad Street Den","Artificial Intelligence, Computer Vision, Machine Learning, Retail Technology, Software","California","$1M to $10M",21167500,NA,2,283558,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"212","HostWise","Seed",3e+05,"2015",NA,"Seed Round - HostWise","Building Material, Hospitality, Hotel, Information Technology, Real Estate, Rental, Travel","California","$1M to $10M",3e+05,NA,NA,158430,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"213","Biome","Seed",250000,"2015",NA,"Seed Round - Biome","Consumer Electronics, Landscaping, Wellness","California","Less than $1M",250000,NA,1,159911,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"214","NousDecor","Seed",3600000,"2015","Women Founded","Seed Round - NousDecor","E-Commerce, Interior Design, Mobile, Professional Services","California",NA,3600000,NA,3,162137,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"215","Bontact","Seed",1e+06,"2015","Women Founded","Seed Round - Bontact","Messaging, SMS, Software, Telecommunications","New York","$1M to $10M",2100000,NA,3,342688,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"216","Localeur","Seed",1200000,"2015","Black / African American Founded, Black / African American Led","Seed Round - Localeur","Content, Local, Location Based Services, Mobile, Travel","Texas","Less than $1M",5700000,"Christopher Shonk",2,342998,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"217","Sabio.inc & App Science®","Seed",250000,"2015","Hispanic / Latinx Founded","Seed Round - Sabio.inc & App Science®","Advertising, Advertising Platforms, Analytics, Digital Marketing, Marketing, Mobile","California","Less than $1M",4350000,NA,NA,344402,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"218","Sourcery Technologies","Seed",3e+06,"2015","Women Founded, Women Led","Seed Round - Sourcery Technologies","Analytics, B2B, E-Commerce, E-Commerce Platforms, Financial Services, FinTech, Food and Beverage, Payments, Restaurants, Wholesale","California","$1M to $10M",11500000,"Marker",5,344415,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"219","Skydio","Seed",3e+06,"2015",NA,"Seed Round - Skydio","Aerospace, Artificial Intelligence, Drones, Robotics, Sensor","California","Less than $1M",1.7e+08,"Andreessen Horowitz",3,345768,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"220","Magnivation","Seed",18000,"2015","Women Founded","Seed Round - Magnivation","Consumer Electronics, Mobile, Toys","Massachusetts",NA,18000,NA,1,167968,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"221","ConceirgeStat","Seed",5e+05,"2015",NA,"Seed Round - ConceirgeStat","Apps, Health Care","New York","$10M to $50M",520000,NA,NA,168154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"222","Goodworld","Pre-Seed",494000,"2015",NA,"Pre Seed Round - Goodworld","Charity, FinTech, Non Profit, Payments, Social Media","District of Columbia","$1M to $10M",3379000,NA,NA,170418,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"223","Baby Doppler","Seed",257610,"2015","Women Founded","Seed Round - Baby Doppler","Artificial Intelligence, Baby, Big Data, Consumer Electronics, Health Care, Machine Learning, Medical Device, Mobile Apps, Software, Women's","Delaware","$1M to $10M",982610,"Jassi Vamadevan",1,171006,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"South",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"224","NectarOM","Seed",1750000,"2015",NA,"Seed Round - NectarOM","Analytics, Big Data, CRM, E-Commerce, Marketing Automation, Personalization, SaaS, Software","Texas","Less than $1M",2050000,NA,NA,174637,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"225","Convey","Seed",2800000,"2015","Women Founded","Seed Round - Convey","E-Commerce, Logistics, SaaS, Transportation","Texas","$1M to $10M",25550000,NA,3,269711,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"226","JamKazam, Inc.","Seed",5e+05,"2015",NA,"Seed Round - JamKazam, Inc.","Marketplace, Media and Entertainment, Music, Social Network, Software","Texas","$1M to $10M",1515000,NA,1,176674,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"227","Nerd Junkie Inc","Seed",3000,"2015",NA,"Seed Round - Nerd Junkie Inc","Cyber Security, Developer APIs, Digital Media, Enterprise Applications, Gaming, Internet of Things, Publishing, Retail, Retail Technology, Web Development, Wireless","Florida","Less than $1M",23470,"Eberle Francois Jr",1,166791,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"228","qplum","Seed",1e+06,"2015","Women Founded","Seed Round - qplum","Asset Management, Financial Services, FinTech, Personal Finance, Wealth Management","New Jersey","$1M to $10M",1e+06,NA,1,167059,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Northeast",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"229","AttaTeam!","Seed",175000,"2015",NA,"Seed Round - AttaTeam!","Cricket, Mobile, Software, Sports, Video","California","$1M to $10M",175000,NA,3,179712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"230","Wayerz - Optimizing Wires. Worldwide","Pre-Seed",4e+05,"2015",NA,"Pre Seed Round - Wayerz - Optimizing Wires. Worldwide","Digital Media, FinTech, Information Technology","New York","$1M to $10M",4e+05,NA,NA,179766,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"231","Viderian","Seed",1e+05,"2015",NA,"Seed Round - Viderian","Analytics, SaaS, Video","California","$1M to $10M",1e+05,NA,NA,179832,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"232","Gusto Technologies","Seed",130000,"2015",NA,"Seed Round - Gusto Technologies","Fitness, iOS, Mobile Apps, Software","Colorado","Less than $1M",130000,NA,NA,180686,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"233","TenantCloud","Seed",2e+05,"2015",NA,"Seed Round - TenantCloud","Accounting, Building Maintenance, Financial Services, Lending, Mobile, Mobile Payments, Property Management, Real Estate, Real Estate Investment, Task Management","Texas","Less than $1M",6304011,NA,NA,284582,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"234","INRFOOD","Seed",185000,"2015",NA,"Seed Round - INRFOOD","Diabetes, Health Care, Medical, Mobile, Nutrition","North Carolina","Less than $1M",457000,NA,2,284640,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"235","CharlestonPharma,LLC","Seed",5e+05,"2015",NA,"Seed Round - CharlestonPharma,LLC","Biotechnology, Health Diagnostics, Medical, Therapeutics","South Carolina","$1M to $10M",4388649,NA,1,171231,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"236","Donald","Seed",5e+05,"2015",NA,"Seed Round - Donald","E-Commerce, Finance, Internet, Marketplace, Real Estate","New York","$1M to $10M",1500000,NA,NA,186613,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"237","Kono","Seed",110000,"2015","Women Founded, Women Led","Seed Round - Kono","Artificial Intelligence, Machine Learning, Productivity Tools","California","$1M to $10M",980000,NA,1,286276,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"238","Reveel, Inc.","Seed",6e+05,"2015",NA,"Seed Round - Reveel, Inc.","Information Services, Information Technology, SaaS","California","Less than $1M",6e+05,NA,1,186973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"239","KeepUp","Seed",250000,"2015","Black / African American Founded, Black / African American Led, Women Founded","Seed Round - KeepUp","Business Development, Mobile Apps, Social Media","New York","Less than $1M",250000,NA,NA,286634,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"240","Device42","Seed",1e+06,"2015",NA,"Seed Round - Device42","App Discovery, Data Center, Information Technology, IT Infrastructure, Software","Connecticut","Less than $1M",38505000,NA,1,188452,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"241","Branch","Seed",250000,"2015","South Asian Founded, South Asian Led","Seed Round - Branch","Collaboration, Enterprise Software, Financial Services, FinTech, Mobile, Mobile Payments, Productivity Tools, Retail Technology, Software","Minnesota","$1M to $10M",34350000,NA,1,173150,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Midwest",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"242","Shopswell","Seed",1e+06,"2015","Women Founded","Seed Round - Shopswell","Content Creators, E-Commerce, Internet, Shopping, Social Shopping","California","Less than $1M",3170000,NA,3,173278,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"243","Knowledge to Practice","Pre-Seed",18000,"2015","Women Founded","Pre Seed Round - Knowledge to Practice","Education, Information Technology, Medical","Maryland","$1M to $10M",12218000,NA,1,173399,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"South",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"244","Yoga International","Seed",750000,"2015",NA,"Seed Round - Yoga International","Digital Media, Fitness, Wellness","Pennsylvania","$10M to $50M",2500000,NA,NA,292960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"245","GroupHub","Seed",2e+05,"2015",NA,"Seed Round - GroupHub","Data Integration, Health Care, Human Resources","California","Less than $1M",220000,NA,NA,175054,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"246","Augmedics","Seed",1e+06,"2015",NA,"Seed Round - Augmedics","Augmented Reality, Health Care, Medical Device, Sensor","Illinois","Less than $1M",25100000,NA,1,295316,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"247","XOR Data Exchange","Seed",1800000,"2015","Women Founded","Seed Round - XOR Data Exchange","Analytics, Cyber Security, Information Services, Marketing","Texas","Less than $1M",9799999,"Chicago Ventures",1,295485,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"248","LifeAssist Technologies","Seed",1500,"2015",NA,"Seed Round - LifeAssist Technologies","Health Care, Information Services, Information Technology, SaaS","California","Less than $1M",1500,NA,NA,199693,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"249","BeSeated","Pre-Seed",8e+05,"2015",NA,"Pre Seed Round - BeSeated","Event Management, Hospitality, Hotel, Nightlife, Reservations, Restaurants, Software, Ticketing","New York",NA,2450000,NA,NA,296193,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"250","Elsen","Seed",5e+05,"2015",NA,"Seed Round - Elsen","FinTech, Hedge Funds","Massachusetts","$1M to $10M",6155000,NA,5,200749,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"251","syncalike","Seed",10000,"2015","Women Founded","Seed Round - syncalike","Big Data, Event Management, Mobile, Social Media","California","Less than $1M",10000,NA,1,201233,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"252","HAE INNOVATIONS","Seed",450000,"2015",NA,"Seed Round - HAE INNOVATIONS","Internet of Things, Telecommunications, Wireless","New Jersey","Less than $1M",450000,NA,NA,299172,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"253","Inteligent Blends","Seed",50000,"2015",NA,"Seed Round - Inteligent Blends","Coffee, Food and Beverage, Manufacturing","California","$1M to $10M",50000,NA,NA,201565,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"254","Selvera","Seed",1e+06,"2015",NA,"Seed Round - Selvera","Health Care, Personal Health, Wellness","New York","Less than $1M",1e+06,NA,1,176778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"255","Lumenus","Seed",250000,"2015",NA,"Seed Round - Lumenus","Consumer, Retail, Retail Technology, Wearables","California","Less than $1M",250000,NA,1,299728,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"256","Foremost","Seed",4e+05,"2015",NA,"Seed Round - Foremost","Brand Marketing, E-Commerce, Retail","Texas","$1M to $10M",475000,NA,NA,302169,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"257","Pangea","Seed",2e+05,"2015",NA,"Seed Round - Pangea","Information Technology, Innovation Management, Internet, Real Estate","California","Less than $1M",2e+05,NA,NA,237871,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"258","Special Learning","Seed",1e+05,"2015","Women Founded","Seed Round - Special Learning","Children, Education, Service Industry, Software","Illinois","$1M to $10M",675000,NA,NA,237967,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Midwest",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"259","Supreme Golf","Seed",1700000,"2015",NA,"Seed Round - Supreme Golf","E-Commerce Platforms, Golf, Internet, Point of Sale, Software, Sports, Subscription Service, Travel","Texas","Less than $1M",24450000,NA,2,191056,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"260","Brandwood Global, Inc.","Seed",160000,"2015","Women Founded, Women Led","Seed Round - Brandwood Global, Inc.","Advertising Platforms, Cloud Infrastructure, Legal, Marketplace, Mobile Advertising, Software","California","Less than $1M",510000,NA,3,191330,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"261","Easely","Seed",220000,"2015",NA,"Seed Round - Easely","Art, E-Commerce, Internet, Music, Real Estate","Pennsylvania","Less than $1M",245000,NA,1,239025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"262","Nurep","Seed",1700000,"2015",NA,"Seed Round - Nurep","Health Care, Information Technology, Medical, mHealth, Mobile","California","Less than $1M",1720000,NA,4,239271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"263","Cloe","Seed",1e+05,"2015","Women Founded","Seed Round - Cloe","E-Commerce, Local, Mobile, Search Engine","New York",NA,1e+05,NA,1,239343,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"264","Campus Rides","Seed",350000,"2015",NA,"Seed Round - Campus Rides","Internet, Ride Sharing, Transportation","New Hampshire","$1M to $10M",350000,NA,NA,213551,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"265","GeoCV","Seed",180000,"2015",NA,"Seed Round - GeoCV","3D Technology, Cloud Computing, Computer Vision, Machine Learning, Real Estate, Virtual Reality","New York","$1M to $10M",2510000,NA,2,169170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"266","HashCash Consultants","Seed",5e+06,"2015",NA,"Seed Round - HashCash Consultants","Blockchain, Cryptocurrency, FinTech, Internet, Software","California","$1M to $10M",1.5e+08,NA,NA,183173,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"267","LocalHitz","Seed",1e+05,"2015",NA,"Seed Round - LocalHitz","Advertising, Analytics, CRM, Social Media Management, Web Design, Web Development","California","Less than $1M",1e+05,NA,NA,277812,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"268","Thaddeus Medical","Seed",81000,"2015",NA,"Seed Round - Thaddeus Medical","Hardware, Medical, Packaging Services","Minnesota","Less than $1M",831000,NA,3,278301,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Midwest",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"269","Mobayle","Seed",1e+05,"2015",NA,"Seed Round - Mobayle","Information Services, Information Technology, Mobile Apps, Software","California","$1M to $10M",1004500,NA,4,185971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"270","Gridspace","Seed",1233000,"2015","Hispanic / Latinx Founded","Seed Round - Gridspace","Call Center, Enterprise Software, Information Technology, Software, Speech Recognition, Telecommunications","California","$1M to $10M",10330438,NA,8,278859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"271","Meody","Seed",1e+05,"2015",NA,"Seed Round - Meody","Messaging, Mobile, Software, Telecommunications, Video Chat","California","Less than $1M",1077000,NA,4,278984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"272","BaziFIT","Seed",25000,"2015",NA,"Seed Round - BaziFIT","Biometrics, Fitness, Health Care, Wearables","Colorado","Less than $1M",1e+05,NA,1,189026,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"273","Stride Health","Seed",2400000,"2015",NA,"Seed Round - Stride Health","Employee Benefits, Financial Services, Health Care, Health Insurance, Wellness","California","Less than $1M",38900000,"New Enterprise Associates",4,279522,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"274","Holganix","Seed",1e+05,"2015",NA,"Seed Round - Holganix","Agriculture, Biotechnology, Farming, Health Care, Nutrition, Sustainability","Pennsylvania","$1M to $10M",4854999,NA,1,279718,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
